ID,Material,Rela‡Æo C:N
1,Acucar,4179
2,Alface,11.7
3,Algodao,596.9
4,Bagaco de cana,84.7
5,Beterraba,24
6,Braquiaria,57.4
7,Carvao,115.3
8,Casca de cafe + esterco suino,18.6
9,Composto,13.175
10,Composto de dejetos de suinos,18.6
11,Composto de lixo,7.7
12,Composto SHIMEJI,22.3
13,Composto SHIMEJI preto,32.5
14,Farelo de Trigo,15.4
15,Farinha de Trigo,20.7
16,Fibra de coco,91.2
17,Fino de Carvao,173.4
18,Folha Flemingea,16.4
19,Gliricidia 1 (Caule+peciolo+foliolo),16.9
20,Gliricidia 2 (peciolo+foliolo),12.1
21,Gliricidia 3 (Caule),32.7
22,Gliricidia 4 (peciolo),32.3
23,Gliricidia 5 (foliolo),12.6
24,Lodo 1,10
25,Lodo de biodigestor,8.9
26,Lodo de esgoto a,10.2
27,Lodo de esgoto compostado,8.1
28,Maisena,550.9
29,Papel Filtro,1380.3
30,Pergaminho de cafe,75.2
31,R£cula,9.5
32,Substrato,190
33,Substrato comercial,21.9
34,Tephrosia,31.8
35,Titonia,13.2
36,Torta de Mamona,5.4
37,Turfa,17
38,Turfa,6.5
39,Vermicomposto,10
40,Folha de banana,19
41,Bana: talos e cachos,61
42,Cinza de cafe,48
43,Residuo de eucalipto,15
44,Feijao de porco,19
45,Feijao guandu: sementes,15
46,Lab lab,11
47,Mandioca: casca de raizes,96
48,Mamona: capsula,53
49,Mandioca: rama,40
50,Milho: sabugo,111
51,Mucuna preta,22
52,Mucuna preta: sementes,14
53,Torta de Algodao,9
54,Farelo de Soja,7
